P1001	applies to jurisdiction	[X] is a legal term in [Y] .	the item (institution, law, public office, public register...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)
P101	field of work	[X] works in the field of [Y] .	specialization of a person or organization
P102	member of political party	[X] is a member of political party [Y] .	the political party of which a person is or has been a member or otherwise affiliated
P105	taxon rank	[X] is a taxon rank of [Y] .	level in a taxonomic hierarchy
P106	occupation	[X]'s job is [Y] .	occupation of a person
P118	league	[Y] is a league of [X] .	league in which team or player plays or has played in
P123	publisher	[X] is published by [Y] .	organization or person responsible for publishing books, periodicals, printed music, podcasts, games or software
P127	owned by	[X] is owned by [Y] .	owner of the subject
P1303	instrument	[X] plays [Y] .	musical instrument that a person plays or teaches or used in a music occupation
P131	located in the administrative territorial entity	[X] is located in the administrative territorial entity of [Y] .	the item is located on the territory of the following administrative entity.
P1344	participant in	[X] is a participant in [Y] .	event in which a person or organization was/is a participant
P1346	winner	[Y] is a winner of [X] .	winner of a competition or similar event, not to be used for awards
P135	movement	[X] is part of movement [Y] .	literary, artistic, scientific or philosophical movement or scene associated with this person or work
P136	genre	[Y] is a genre of [X] .	creative work's genre or an artist's field of work
P137	operator	[Y] is an operator of [X] .	person, profession, or organization that operates the equipment, facility, or service
P140	religion	[X]'s religion is [Y].	religion of a person, organization or religious building, or associated with this subject
P1408	licensed to broadcast to	[X] is lisensed to broadcast to [Y] .	place that a radio/TV station is licensed/required to broadcast to
P1411	nominated for	[X] is nominated for [Y] .	award nomination received by a person, organisation or creative work
P1435	heritage designation	[X] is designated as heritage by [Y] .	heritage designation of a cultural or natural site
P150	contains administrative territorial entity	[X] contains administrative territorial entity [Y] .	direct subdivisions of an administrative territorial entity
P155	follows	[X] follows [Y] .	immediately prior item in a series of which the subject is a part
P156	followed by	[X] is followed by [Y] .	immediately following item in a series of which the subject is a part
P159	headquarters location	[X] is headquartered in [Y] .	city, where an organization's headquarters is or has been situated
P175	performer	[Y] is a performer of [X] .	actor, musician, band or other performer associated with this role or musical work
P176	manufacturer	[X] is manufactured by [Y] .	manufacturer or producer of this product
