P1001	applies to jurisdiction	[X] is a legal term used in [Y] .	the item (institution, law, public office, public register...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)	paraphrase
P101	field of work	[X] works in the area of [Y] .	specialization of a person or organization	paraphrase
P102	member of political party	[X] is a member of the political party [Y] .	the political party of which a person is or has been a member or otherwise affiliated	paraphrase
P105	taxon rank	[X] is a taxon of [Y] .	level in a taxonomic hierarchy	paraphrase
P106	occupation	[X] The job is [Y] .	occupation of a person	paraphrase
P118	league	[Y] is a league of the [X] .	league in which team or player plays or has played in	paraphrase
P123	publisher	[X] will be published by [Y].	organization or person responsible for publishing books, periodicals, printed music, podcasts, games or software	paraphrase
P127	owned by	[X] is the property of [Y] .	owner of the subject	paraphrase
P1303	instrument	[X] plays the instrument [Y] .	musical instrument that a person plays or teaches or used in a music occupation
P131	located in the administrative territorial entity	[X] is located in the County Government of the County Government of the County Government of the County Government of the County Government of the County Government of the County Government of the County Government of the County Government of the County Government of the County Government of the County Government of the County Government of the County Government of the County Government of the County Government of the County Government of the County Government of the County Government of the County Government of the County Government of the County Government of the County Government of the County Government of the County Government [Y] .	the item is located on the territory of the following administrative entity.	paraphrase
P1344	participant in	[X] is a participant of [Y] .	event in which a person or organization was/is a participant	paraphrase
P1346	winner	[Y] is the winner of [X] .	winner of a competition or similar event, not to be used for awards	paraphrase
P135	movement	[X] is part of the movement [Y] .	literary, artistic, scientific or philosophical movement or scene associated with this person or work	paraphrase
P136	genre	[Y] is a genre of the [X] .	creative work's genre or an artist's field of work	paraphrase
P137	operator	[Y] is the operator of [X] .	person, profession, or organization that operates the equipment, facility, or service	paraphrase
P140	religion	[X] religion is [Y].	religion of a person, organization or religious building, or associated with this subject	paraphrase
P1408	licensed to broadcast to	[X] is transferred to [Y].	place that a radio/TV station is licensed/required to broadcast to	paraphrase
P1411	nominated for	[X] has been nominated for [Y] .	award nomination received by a person, organisation or creative work	paraphrase
P1435	heritage designation	[X] is referred to by [Y] as an heir.	heritage designation of a cultural or natural site	paraphrase
P150	contains administrative territorial entity	[X] contains the administrative authority [Y] .	direct subdivisions of an administrative territorial entity	paraphrase
P155	follows	[X] is followed by [Y] .	immediately prior item in a series of which the subject is a part	paraphrase
P156	followed by	[X] followed by [Y] .	immediately following item in a series of which the subject is a part	paraphrase
P159	headquarters location	[X] has its headquarters in [Y] .	city, where an organization's headquarters is or has been situated	paraphrase
P175	performer	[Y] is a performer from [X] .	actor, musician, band or other performer associated with this role or musical work	paraphrase
P176	manufacturer	[X] is produced by [Y].	manufacturer or producer of this product	paraphrase
P177	crosses	[X] intersects [Y] .	obstacle (body of water, road, railway...) which this bridge crosses over or this tunnel goes under
P178	developer	[X] is designed by [Y].	organization or person that developed the item	paraphrase
P1877	after a work by	[X] after the work of [Y] .	artist whose work strongly inspired/ was copied in this item	paraphrase
P1923	participating team	[Y] is a participating team at [X] .	like Participant but for teams	paraphrase
P206	located in or next to body of water	[X] is located in or next to the body of water [Y] .	body of water on or next to which a place is located	paraphrase
P2094	competition class	[X] is in the competitive class [Y] .	official classification by a regulating body under which the subject (events, teams, participants, or equipment) qualifies for inclusion	paraphrase
P22	father	[Y] is the father of [X] .	male parent of the subject	paraphrase
P241	military branch	[X] is the military branch of [Y] .	branch to which this military unit, award, office, or person belongs	paraphrase
P25	mother	[Y] is the mother of [X] .	female parent of the subject	paraphrase
P26	spouse	[X] is a wife of [Y] .	the subject has the object as their spouse	paraphrase
P264	record label	[X] is represented by the label [Y].	brand and trademark associated with the marketing of subject music recordings and music videos	paraphrase
P27	country of citizenship	[X] is a citizen of [Y] .	the object is a country that recognizes the subject as its citizen	paraphrase
P276	location	[X] is in [Y] .	location of the object, structure or event.	paraphrase
P306	operating system	[X] is [Y] .	operating system (OS) on which a software works or the OS installed on hardware	paraphrase
P3373	sibling	[X] is a brother and sister of [Y] .	the subject and the object have the same parents (brother, sister, etc.)	paraphrase
P3450	sports season of league or competition	[X] is a sports season of the league or competition of [Y] .	property that shows the competition of which the item is a season	paraphrase
